Date;Last Price
2/9/23;25849,6
1/9/23;25759,54
31/8/23;26013,12
30/8/23;27253,38
29/8/23;27579,74
28/8/23;25981,81
27/8/23;26083,84
26/8/23;26024,25
25/8/23;26048,87
24/8/23;26016,62
23/8/23;26591,76
22/8/23;25856,99
21/8/23;26109,71
20/8/23;26233,05
19/8/23;26059,87
18/8/23;26071,78
17/8/23;27642
16/8/23;28940,39
15/8/23;29171,58
14/8/23;29366,8
13/8/23;29403,99
12/8/23;29410,47
11/8/23;29387,01
10/8/23;29421,05
9/8/23;29483,38
8/8/23;29984,24
7/8/23;29159,17
6/8/23;29095,63
5/8/23;29032,77
4/8/23;28937,67
3/8/23;29284,99
2/8/23;29119,79
1/8/23;29212,88
31/7/23;29206,8
30/7/23;29271,19
29/7/23;29356,5
28/7/23;29342,44
27/7/23;29143,93
26/7/23;29589,43
25/7/23;29229,74
24/7/23;29145,13
23/7/23;30144,88
22/7/23;29833,35
21/7/23;29883,66
20/7/23;29737,02
19/7/23;29966,89
18/7/23;29784,08
17/7/23;29931,93
16/7/23;30287,41
15/7/23;30314,36
14/7/23;30206
13/7/23;31386
12/7/23;30351,84
11/7/23;30578,75
10/7/23;30785,96
9/7/23;30201,16
8/7/23;30163,19
7/7/23;30272,41
6/7/23;30315,91
5/7/23;30470,54
4/7/23;30807,48
3/7/23;31128,76
2/7/23;30592,26
1/7/23;30592,81
30/6/23;30390,91
29/6/23;30400,46
28/6/23;30104,08
27/6/23;30655,23
26/6/23;30163,13
25/6/23;30383,36
24/6/23;30523,34
23/6/23;30928,74
22/6/23;30157,31
21/6/23;29985,4
20/6/23;28169,64
19/6/23;26718,39
18/6/23;26472
17/6/23;26534,66
16/6/23;26394,71
15/6/23;25547,99
14/6/23;24928,57
13/6/23;25849,13
12/6/23;25895
11/6/23;26135,88
10/6/23;25767,85
9/6/23;26444,43
8/6/23;26645,5
7/6/23;26363,47
6/6/23;26945,16
5/6/23;25641,7
4/6/23;27249,75
3/6/23;27071,27
2/6/23;27183,62
1/6/23;26868,32
31/5/23;27117,1
30/5/23;27772,51
29/5/23;27693,13
28/5/23;27564,04
27/5/23;26760,83
26/5/23;26759,28
25/5/23;26490,2
24/5/23;26401,81
23/5/23;27223,3
22/5/23;26899,28
21/5/23;26851,07
20/5/23;27024,24
19/5/23;26839,54
18/5/23;26726,05
17/5/23;27337,78
16/5/23;26956,57
15/5/23;27354,85
14/5/23;26952,65
13/5/23;26918,96
12/5/23;26447,7
11/5/23;27009,45
10/5/23;27875,64
9/5/23;27659,74
8/5/23;27562,71
7/5/23;28953,02
6/5/23;28851,54
5/5/23;29524,75
4/5/23;28884,06
3/5/23;28528,95
2/5/23;28695,82
1/5/23;27683,13
30/4/23;29347,96
29/4/23;29242,06
28/4/23;29354,75
27/4/23;29633,43
26/4/23;28417,5
25/4/23;27979,6
24/4/23;27460,55
23/4/23;27508,33
22/4/23;27645,8
21/4/23;27272,1
20/4/23;28203,91
19/4/23;29249,26
18/4/23;30422
17/4/23;29459,36
16/4/23;30361
15/4/23;30312,22
14/4/23;30470,31
13/4/23;30285,33
12/4/23;29968,01
11/4/23;30192,1
10/4/23;29142,36
9/4/23;28136,46
8/4/23;27932,43
7/4/23;27890,37
6/4/23;27992,29
5/4/23;28157,09
4/4/23;28257,1
3/4/23;27588,08
